4-1	僕はもう夢中。
466-1	ボーナススキルには必要経験値の軽減と獲得経験値の上昇とがある。
466-0	必要経験値の軽減と獲得経験値の上昇とがボーナススキルにはある。
471-0	調整例１と各成分の組成比は同様である。
471-1	各成分の組成比は調整例１と同様である。
472-1	世界中の研究者がＢＢに注目した。
472-0	ＢＢに世界中の研究者が注目した。
476-1	公式情報だと来週は飯田と新垣
476-0	来週は公式情報だと飯田と新垣
478-0	ナナはめぐっちとタメです
478-1	めぐっちとナナはタメです
480-1	ベージュは白に近かったです。
480-0	白にベージュは近かったです。
483-1	やっぱり何かしら所属がないと撮らせてもらえないんですね。
483-0	何かしらやっぱり所属がないと撮らせてもらえないんですね。
484-1	この曲だんだんドラマにはまってきたな
484-0	ドラマにこの曲だんだんはまってきたな
488-0	ホテル内の教会でクリスチャンではありませんが式を上げました。
488-1	クリスチャンではありませんがホテル内の教会で式を上げました。
489-0	それで２ヶ月程はなんとか持ちました。
489-1	それでなんとか２ヶ月程は持ちました。
494-1	おバカなぽちこをしっかりとだっこして帰宅です。
494-0	しっかりとおバカなぽちこをだっこして帰宅です。
498-1	ＧＷは大阪で決まりです！！
498-0	大阪でＧＷは決まりです！！
499-1	貴方はどれを選びますかぁ？
499-0	どれを貴方は選びますかぁ？
500-1	曲名から歌いだしを当ててください。
500-0	歌いだしを曲名から当ててください。
505-0	さすがに最後に食ったのが２ヶ月前で心配になってきた
505-1	最後に食ったのが２ヶ月前でさすがに心配になってきた
507-0	井上になにとぞヒットを
507-1	なにとぞ井上にヒットを
508-1	パートナーは青の一番ペリーヌで参加。
508-0	青の一番ペリーヌでパートナーは参加。
510-1	おかげで数学などは割と得意になったようです。
510-0	おかげで割と数学などは得意になったようです。
519-1	フジの大島アナってもう３０歳なんですね。
519-0	もうフジの大島アナって３０歳なんですね。
522-1	若いうちに一度くらい挫折しても大丈夫です。
522-0	一度くらい若いうちに挫折しても大丈夫です。
523-0	一切アフィリエイトや集客等の要素はなく
523-1	アフィリエイトや集客等の要素は一切なく
524-0	ぼくよりあなたは有利です。
524-1	あなたはぼくより有利です。
526-0	イザイホーは二度ともう行われないのだろうか。
526-1	もう二度とイザイホーは行われないのだろうか。
529-0	動きが相変わらず硬いな
529-1	相変わらず動きが硬いな
531-0	光ＧＥＮＪＩが全て悪いんデス。
531-1	全て光ＧＥＮＪＩが悪いんデス。
533-1	明日はランキング大幅ダウンだよねきっと
533-0	ランキング大幅ダウンだよね明日はきっと
534-0	ロビーで休憩時間に物色。
534-1	休憩時間にロビーで物色。
536-0	着色料や保存料はもちろん不使用です。
536-1	もちろん着色料や保存料は不使用です。
539-0	朝鮮人を関東大震災直後には７０００人も虐殺してるんだろ？
539-1	関東大震災直後には朝鮮人を７０００人も虐殺してるんだろ？
540-1	これでどんな作品が出来るのか楽しみです♪
540-0	どんな作品がこれで出来るのか楽しみです♪
542-1	もうＰＲＩＤＥには相手がいないもんな。
542-0	相手がＰＲＩＤＥにはもういないもんな。
545-0	メモ帳を例えば開いて
545-1	例えばメモ帳を開いて
561-1	さらに【腸内スッキリ＆お肌ツルツル】効果も♪
561-0	【腸内スッキリ＆さらにお肌ツルツル】効果も♪
562-1	新サンマの塩焼きをあてにぐいっと飲みました！
562-0	ぐいっと新サンマの塩焼きをあてに飲みました！
573-1	上司がかなり手強い。
573-0	かなり上司が手強い。
575-1	奥様は東京へ転勤だそうです。
575-0	東京へ奥様は転勤だそうです。
576-1	テレビにべったり張り付く。
576-0	べったりテレビに張り付く。
578-0	石油減税が最良だと私は思う。
578-1	私は石油減税が最良だと思う。
580-0	やたら甘いものが大人だって疲れると欲しくなったりします。
580-1	大人だって疲れるとやたら甘いものが欲しくなったりします。
582-0	翼が今回は楽しいです♪
582-1	今回は翼が楽しいです♪
584-0	プカプカ波に浮いてみるとか。
584-1	波にプカプカ浮いてみるとか。
586-1	それまでＣＡＴＶでネット開通させるか検討中。
586-0	ＣＡＴＶでそれまでネット開通させるか検討中。
587-1	今夜はゆっくり眠れそうです・・・！
587-0	ゆっくり今夜は眠れそうです・・・！
589-0	６バンドがそれぞれのＢＯφＷＹを本日３日目も魅せてくれました♪
589-1	本日３日目も６バンドがそれぞれのＢＯφＷＹを魅せてくれました♪
590-0	多くのお客様の声により向きあっていきます
590-1	より多くのお客様の声に向きあっていきます
591-0	よっぽど駐車場のライブ映像でも配信してくれた方がいい
591-1	駐車場のライブ映像でも配信してくれた方がよっぽどいい
594-1	初めから安全なんてどこにもなかった
594-0	安全なんてどこにも初めからなかった
595-1	アメリカへプチ旅行もしてきました
595-0	プチ旅行もアメリカへしてきました
596-0	たっぷりとにかくパワーチャージをしました。
596-1	とにかくパワーチャージをたっぷりしました。
600-1	阿蘇郡西原村へ高価出張買取に伺います
600-0	高価出張買取に阿蘇郡西原村へ伺います
601-1	料金的には結構高いが配達が比較的早い。
601-0	比較的料金的には結構高いが配達が早い。
605-0	フルカラーで説明書も気に入っています。
605-1	説明書もフルカラーで気に入っています。
606-0	根こそぎどれだけ国民から奪うつもりなんですか？？
606-1	国民からどれだけ根こそぎ奪うつもりなんですか？？
612-1	お見合い相手との結婚を前提とした交際
612-0	前提とお見合い相手との結婚をした交際
613-0	帰宅後はビデオやらノンビリと雑誌やら消化。
613-1	帰宅後はノンビリとビデオやら雑誌やら消化。
616-0	からっと今日は快晴
616-1	今日はからっと快晴
617-0	特にスウィーツの中で好きなものとかある？？
617-1	スウィーツの中で特に好きなものとかある？？
621-0	いろいろｉＰｈｏｎｅ４で遊んで２週間ほど。
621-1	ｉＰｈｏｎｅ４でいろいろ遊んで２週間ほど。
623-0	バンバンシャカラビを叩ける
623-1	シャカラビをバンバン叩ける
626-0	ピタリとキャスティングがこのドラマははまってました。
626-1	このドラマはキャスティングがピタリとはまってました。
627-1	ファーストレビューやまとめなど関連記事はこちらでどうぞ
627-0	こちらでファーストレビューやまとめなど関連記事はどうぞ
628-1	小道具に興味があろうがなかろうが
628-0	興味が小道具にあろうがなかろうが
630-1	なにせ十勝は地震が多いところなので。
630-0	なにせ地震が十勝は多いところなので。
631-1	転勤で横浜に来ました！
631-0	横浜に転勤で来ました！
635-0	発送方法や送料を必ず入札前に確認しましょう。
635-1	必ず入札前に発送方法や送料を確認しましょう。
642-0	胸に熱い吐息が染みる。
642-1	熱い吐息が胸に染みる。
643-0	辺りの様子が何となくおかしい気が
643-1	何となく辺りの様子がおかしい気が
647-0	建築と不動産の視点で土地探しから購入までをサポートします。
647-1	土地探しから購入までを建築と不動産の視点でサポートします。
648-1	もちろんお馴染みのアウトロー達も大挙大阪集結！
648-0	お馴染みのアウトロー達ももちろん大挙大阪集結！
650-0	権蔵さんにも後で教えておきます。
650-1	後で権蔵さんにも教えておきます。
652-1	浴室換気扇のスイッチをタイマー式に替えました。
652-0	タイマー式に浴室換気扇のスイッチを替えました。
659-0	アイツより俺は格上だから
659-1	俺はアイツより格上だから
661-0	港を夕食後に少し散歩した。
661-1	夕食後に港を少し散歩した。
664-1	ついていけるかな？と少し不安でしたが
664-0	少しついていけるかな？と不安でしたが
674-1	そろそろ閉店にします。
674-0	閉店にそろそろします。
677-0	続編は企業体力が回復しないと無理じゃないか？
677-1	企業体力が回復しないと続編は無理じゃないか？
678-0	血管が有毒ガスの一酸化窒素で健康になるってホント？
678-1	有毒ガスの一酸化窒素で血管が健康になるってホント？
680-0	だいぶ会場も黄昏カラアズ登場で暖まった模様。
680-1	黄昏カラアズ登場で会場もだいぶ暖まった模様。
685-0	刺激を綿棒でするのはご存知ですか？？
685-1	綿棒で刺激をするのはご存知ですか？？
686-1	見た目は少しやんちゃ系かな？
686-0	少し見た目はやんちゃ系かな？
688-0	若干事実を実は問題文の例題はひねっています。
688-1	実は問題文の例題は事実を若干ひねっています。
689-1	私はこれでいいと思います
689-0	これでいいと私は思います
690-1	なんだか心が広くなるね。
690-0	心がなんだか広くなるね。
691-1	とりあえずチョン・ジュノのブレザー姿が笑えました
691-0	チョン・ジュノのブレザー姿がとりあえず笑えました
693-1	実際にトピ主さんの友人やご近所さんから恥ずかしい人と噂されているの？
693-0	トピ主さんの友人やご近所さんから実際に恥ずかしい人と噂されているの？
704-1	近くに小窓等があるならそれで確認。
704-0	それで近くに小窓等があるなら確認。
707-0	正直一番３が楽でした。
707-1	正直３が一番楽でした。
710-0	痛いやろなかなり＾＾；
710-1	かなり痛いやろな＾＾；
715-0	２枚もお好み焼きをたべちゃった！
715-1	お好み焼きを２枚もたべちゃった！
717-0	入れてよね凪君も＾＾
717-1	凪君も入れてよね＾＾
718-1	子供たちから笑顔を消してはいけない。
718-0	笑顔を子供たちから消してはいけない。
720-1	トールペアは４４．２１Ｍとまた少し記録更新
720-0	４４．２１Ｍとまた少しトールペアは記録更新
721-0	貰えるんだからモニター後は無問題
721-1	モニター後は貰えるんだから無問題
725-0	２時少し前にこの日は入場。
725-1	この日は２時少し前に入場。
726-0	中学生の息子へのプレゼント用にと今回は購入しました。
726-1	今回は中学生の息子へのプレゼント用にと購入しました。
729-0	最新のＤｉｒｅｃｔＸ９にマクロソフトのＷｅｂインストーラでバージョンアップしてください。
729-1	マクロソフトのＷｅｂインストーラで最新のＤｉｒｅｃｔＸ９にバージョンアップしてください。
731-0	大抵大画面テレビならチューナーは内臓。
731-1	大画面テレビなら大抵チューナーは内臓。
733-0	賃貸物件情報をＪＲ姫新線沿線のエリアから探したい方はこちらから。
733-1	ＪＲ姫新線沿線のエリアから賃貸物件情報を探したい方はこちらから。
734-1	モバイルでちょっと快適になる休日
734-0	ちょっとモバイルで快適になる休日
736-0	何も当時は感じなかったがひどい内容だ。
736-1	当時は何も感じなかったがひどい内容だ。
737-0	話題のＫＶＭをこの版では入れました。
737-1	この版では話題のＫＶＭを入れました。
740-0	絶対ネトウヨ御用達の青山繁晴氏もチェルノブイリみたいなことにはならないと
740-1	ネトウヨ御用達の青山繁晴氏もチェルノブイリみたいなことには絶対ならないと
748-1	石鹸でもいろんなタイプがあるようです。
748-0	いろんなタイプが石鹸でもあるようです。
751-0	どのような形で海外でテレビを見るかです。
751-1	海外でどのような形でテレビを見るかです。
756-0	けっこう自分に降りかかってくる可能性が高いです。
756-1	自分に降りかかってくる可能性がけっこう高いです。
768-0	路線バスで馬籠からは妻籠にさらに移動。
768-1	馬籠からはさらに路線バスで妻籠に移動。
769-0	Ｐｈｏｔｏｓｈｏｐで全て行っています。
769-1	全てＰｈｏｔｏｓｈｏｐで行っています。
771-0	いちばんお値段が安いこちらのお店で購入しました。
771-1	お値段がいちばん安いこちらのお店で購入しました。
774-1	何となく即ｇｅｔ。
774-0	即何となくｇｅｔ。
775-1	特大ポケットにデジタルカメラを最大３個まで収容可能
775-0	最大３個まで特大ポケットにデジタルカメラを収容可能
779-0	どんどん中国線は増便していますね。
779-1	中国線はどんどん増便していますね。
780-0	組織体制をマーケット別組織へ機能別組織から一部変更。
780-1	機能別組織からマーケット別組織へ組織体制を一部変更。
781-1	もうここに戻る事はないんだね
781-0	ここにもう戻る事はないんだね
783-1	今年は５５秒台を狙います！
783-0	５５秒台を今年は狙います！
784-0	数々の伝説をじーちゃんは残しました。
784-1	じーちゃんは数々の伝説を残しました。
785-0	給与に報奨金が売上目標ごとに出ます。
785-1	売上目標ごとに給与に報奨金が出ます。
787-1	素人が中華パッドを買ってしまったような物言いだな。
787-0	中華パッドを素人が買ってしまったような物言いだな。
788-0	始発の八尾南でもいっそのこと可。
788-1	いっそのこと始発の八尾南でも可。
792-1	傀儡政権に何を期待しろと。
792-0	何を傀儡政権に期待しろと。
793-0	峠もこのまま越せるのだろうか。
793-1	このまま峠も越せるのだろうか。
797-0	エルフの国からひょっとして来た蟻ですか？
797-1	ひょっとしてエルフの国から来た蟻ですか？
799-1	ノムたんは左翼だったけど愛国心が有ったからな
799-0	愛国心がノムたんは左翼だったけど有ったからな
806-0	同じ考えをその人も持っててくれたのです。
806-1	その人も同じ考えを持っててくれたのです。
807-0	ブラックで光通信は有名じゃ？
807-1	光通信はブラックで有名じゃ？
810-0	宝塚でお探しなら習い事をカレッジ神戸へ
810-1	習い事を宝塚でお探しならカレッジ神戸へ
811-1	中途半端な速度だとちょっと面倒ですなぁ。
811-0	ちょっと中途半端な速度だと面倒ですなぁ。
812-1	ｖ夏姫ｖさんはｔｏｓｈｏｓｈｉさんを良い出品者と評価しました。
812-0	良い出品者とｖ夏姫ｖさんはｔｏｓｈｏｓｈｉさんを評価しました。
813-1	ＤＶＩ−Ｄは２４ピンでデジタル信号を出力します。
813-0	デジタル信号をＤＶＩ−Ｄは２４ピンで出力します。
815-1	ますますモスバーガーに人が流れるわ
815-0	モスバーガーにますます人が流れるわ
817-0	思わずこれなら相手は好みを答えてしまう。
817-1	これなら相手は思わず好みを答えてしまう。
819-0	やみつきにリアルな挿入感と力強い動きがなりそう！！
819-1	リアルな挿入感と力強い動きがやみつきになりそう！！
822-0	助手席のシート下にこれを設置します。
822-1	これを助手席のシート下に設置します。
823-0	またしみじみ『そんな時期か…』と思ってしまいました
823-1	『そんな時期か…』としみじみまた思ってしまいました
826-1	私の場合はずっとサラリーマンをしてました。
826-0	サラリーマンを私の場合はずっとしてました。
829-0	好感をそれだけでも持てる。
829-1	それだけでも好感を持てる。
832-1	連れは不味いと言っていましたが。
832-0	不味いと連れは言っていましたが。
835-0	更にＴｏｐｉｃｓ：１１月中のご予約ならスプマンテプレゼント！
835-1	Ｔｏｐｉｃｓ：１１月中のご予約なら更にスプマンテプレゼント！
840-0	全くバスルームも同じ。
840-1	バスルームも全く同じ。
844-0	サッカーメインでこのチームは普段は活動している。
844-1	このチームは普段はサッカーメインで活動している。
849-0	バターを必ずマーガリンではなく使うこと
849-1	マーガリンではなく必ずバターを使うこと
850-0	５０歳ぐらいはせめて生きてほしかった。
850-1	せめて５０歳ぐらいは生きてほしかった。
851-1	つまりフォルダごとでの再生ができないってことだよね？
851-0	フォルダごとでの再生がつまりできないってことだよね？
852-0	面白いんでしょうね映画にもなったんなら＾＾
852-1	映画にもなったんなら面白いんでしょうね＾＾
853-1	少し伏せ目になっている。
853-0	伏せ目に少しなっている。
855-0	ダメージを背馳・ソイは受けなかった。
855-1	背馳・ソイはダメージを受けなかった。
857-0	すぐＫＡＴ−ＴＵＮは３０万なんて越すのにね
